"genus","herbivore","carnivore","insectivore","omnivore","body_mass"
"Atelocynus",20,1,0,1,7749.97
"Dasyprocta",90,0,0,0,2309.99
"Myrmecophaga",0,1,1,1,22333.15
"Pecari",70,0,0,0,21266.69
"Tapirus",100,0,0,0,299999.13
"Cuniculus",100,0,0,0,8999.95
"Leopardus",0,1,0,1,5157.94
"Mazama",100,0,0,0,25999.8
"Nasua",70,0,0,0,3793.85
"Tayassu",80,0,0,0,32233.69
"Puma",10,1,0,1,6875
"Tamandua",0,1,1,1,4209.98
"Didelphis",20,0,0,1,1163.99
"Eira",10,1,0,1,3910.03
"Dasypus",0,1,1,1,1526.65
"Priodontes",0,1,1,1,45359.68
"Panthera",0,1,0,1,161499.06
